k1_wang,k2_wang,kx,ky,zero_field_energy_meV,target_weight_raw,target_weight,target_probability,target_relative,active_weight,common_weight
0.0,0.0,0.0,0.0,25.000000000000043,0.00011244879257061601,0.00011244879257061601,0.00033345476198969856,0.419706978009568,0.00028160435479439067,0.0006314512427825221
0.025,0.0,0.0013383166562134473,0.0,24.895199314040454,0.00012101454778358511,0.00011316746772091108,0.0003355859156082584,0.42238938098256124,0.00029277177720232707,0.0006304699688875259
0.05,0.0,0.0026766333124268946,0.0,24.588518146702327,0.00013130767643350168,0.00011507426878225202,0.00034124032842618044,0.42950637790912466,0.0003208585093355782,0.0006294468932257754
0.075,0.0,0.004014949968640341,0.0,24.105700836097615,0.00014285662625668495,0.00011879032693065938,0.00035225989793057414,0.44337629593956007,0.0003418923416286354,0.0006287058130923838
0.1,0.0,0.005353266624853789,0.0,23.48933725959624,0.0001548841917738593,0.00012595571125524906,0.0003735080720541007,0.47012057422304715,0.0003528576501260949,0.0006283086580293536
0.125,0.0,0.0066915832810672355,0.0,22.793275532385636,0.0001666642128080471,0.00013754487798532287,0.00040787449560826094,0.5133763000937697,0.0003629951753384834,0.0006281425933908338
0.15,0.0,0.008029899937280682,0.0,22.075066063604332,0.00017775641231506815,0.00015253174093165318,0.0004523164207058781,0.5693136811296557,0.0003752602655534092,0.0006280706437030809
0.175,0.0,0.00936821659349413,0.0,21.389007428130558,0.0001880127432216779,0.00016861496454306663,0.0005000094850667344,0.6293431489815176,0.00039141485285629197,0.0006280094949096979
0.2,0.0,0.010706533249707578,0.0,20.78133647182269,0.00019744933741772802,0.00018356965093055313,0.0005443559940507088,0.6851604333408066,0.00041237029723220815,0.0006279375303098691
0.225,0.0,0.012044849905921024,0.0,20.287492609259523,0.0002061273447477072,0.00019637044321322965,0.0005823153624558336,0.732938463876052,0.00043678449877440487,0.0006278660278031983
0.25,0.0,0.013383166562134471,0.0,19.930479176859095,0.0002140801637048371,0.00020702479978970028,0.0006139097073584641,0.7727050785201238,0.0004610781858487973,0.0006278104561652573
0.275,0.0,0.01472148321834792,0.0,19.719339308337492,0.00022127996745336564,0.00021589516970877543,0.0006402138323073228,0.8058130921097233,0.00048211803879981776,0.0006277748028635199
0.3,0.0,0.016059799874561364,0.0,19.647361210591473,0.00022767268953261124,0.00022331058986171378,0.0006622034607028332,0.8334906110222232,0.0004989289366927987,0.0006277494663841375
0.325,0.0,0.017398116530774815,0.0,19.69059420285008,0.00023324179489198505,0.00022955625117089464,0.0006807242954553566,0.8568020897301997,0.0005119704174835029,0.0006277231856676542
0.35,0.0,0.01873643318698826,0.0,19.808268214524457,0.00023806613223437858,0.0002348810599301586,0.0006965144413241616,0.8766765529568821,0.0005220575085041362,0.0006276929773088839
0.375,0.0,0.020074749843201706,0.0,19.947023695628562,0.00024235893787286279,0.00023951090895281212,0.000710243759074974,0.8939571292753711,0.0005298983250294843,0.0006276568318155423
0.4,0.0,0.021413066499415156,0.0,20.04968659037786,0.00024642398162194785,0.00024382800791218487,0.0007230456502565054,0.910070388622898,0.0005360064998034203,0.0006276120046947725
0.425,0.0,0.0227513831556286,0.0,20.06691317985505,0.00025051800462786886,0.0002480664918366705,0.0007356144170340495,0.9258902230437154,0.0005407210534140591,0.0006275582485833122
