band_361_meV,band_362_meV,band_363_meV,band_364_meV,band_365_meV,band_366_meV
-20.605820296754867,-16.336961684628022,-11.834991214262807,21.93220773715164,26.46753225839416,31.038714013772147
-20.634021029083005,-16.3586724169242,-11.802846185325096,21.904617838793833,26.486353014827014,31.069046288675167
-20.71892774264954,-16.421397312083634,-11.708671613961661,21.824275929702498,26.543752456502897,31.15700167020465
-20.860228210193647,-16.519426222707477,-11.558689721289161,21.697392631336903,26.6388978065501,31.297647056248422
-21.05652224630908,-16.645861047262684,-11.361341654904543,21.53243659238766,26.768827135638503,31.485858170506578
-21.305345400934087,-16.79438712284585,-11.125482601399918,21.33859136318917,26.929702459227993,31.716599445316643
-21.603335825795767,-16.960267416886317,-10.859211409976307,21.12457983039312,27.11779676826149,31.98510288653671
-21.946517497762855,-17.140550666475033,-10.569370708842262,20.898032032020385,27.330012232730358,32.28697317570403
-22.330629958137877,-17.333797199587522,-10.261483930124452,20.66528642544186,27.564017103720612,32.61824172058654
-22.75142970103749,-17.53962942223052,-9.939897412941567,20.431440953240863,27.818169450227963,32.97538545961517
-23.204915183975746,-17.758298546188993,-9.607984283829529,20.200510706021536,28.091360211595653,33.35532138722163
-23.687462626947827,-17.990348069390354,-9.268342627153334,19.97560999937049,28.382849735161624,33.75538500375092
-24.19588486188803,-18.23638575879748,-8.922964055994084,19.759121296562014,28.692129035182447,34.173299143991876
-24.72743572607398,-18.49694544487983,-8.573368924755922,19.552838323734615,29.018813458935995,34.60713819482467
-25.279782035805074,-18.77241276122386,-8.220711976481953,19.35808233669012,29.362566100288372,35.0552913644616
-25.850959972106,-19.062992211918502,-7.865864094684454,19.17579492104916,29.72304501608487,35.5164274491092
-26.43932683148897,-19.368699067642847,-7.509475518640798,19.006611763345123,30.099868180693328,35.98946253575755
-27.043514352734014,-19.68936523138054,-7.1520249254406965,18.85092152268521,30.492591126633947,36.473531317215205
-27.66238660235023,-20.02465239883106,-6.793857784255953,18.70891319847848,30.90069344375596,36.96796216289835
-28.295003447843076,-20.374068612072247,-6.435216544410148,18.58061462409481,31.32357139569596,37.47225574400797
-28.94058958531988,-20.736986018287535,-6.076264562384794,18.465924060325165,31.760534768945558,37.98606680583369
-29.598508582819907,-21.112658652422425,-5.717105181989087,18.36463634779593,32.210806707962874,38.509188566556624
-30.268241215306723,-21.50023963220157,-5.357797022493659,18.276464692824646,32.67352575238297,39.04153916931182
-30.949367351776605,-21.898797467111077,-4.998366267596283,18.201058883059194,33.14774962237354,39.58314959790647
-31.64155071972383,-22.307331350451726,-4.638816558245216,18.1380205323912,33.63246052992258,40.13415247400122
