k1,k2,raw_link1_abs,raw_link2_abs,covariant_link1_abs,covariant_link2_abs,frame_singular1,frame_singular2,frame_singular_difference
0.0,0.0,0.9653033260562505,0.9648537837975185,0.9999993963166288,0.999999691088401,0.9236304980545068,0.8499252441751896,0.8572615592385451
0.025,0.0,0.9653144006076735,0.964849376560213,0.9999998827531937,0.9999993089282446,0.8788249698142948,0.8704231437158317,0.838005190114823
0.05,0.0,0.9653033260562516,0.9648537837975223,0.999999396316629,0.999999691088401,0.9236304980528945,0.8499252441722585,0.857261559238108
0.075,0.0,0.9653144006076538,0.9648493765602005,0.9999998827531937,0.9999993089282443,0.8788249698178703,0.8704231437155464,0.8380051901128523
0.1,0.0,0.9653033260562305,0.9648537837974862,0.9999993963166289,0.9999996910884008,0.923630498050526,0.8499252441702431,0.8572615592373887
0.125,0.0,0.9653144006076583,0.9648493765602111,0.9999998827531934,0.9999993089282444,0.87882496981411,0.8704231437126537,0.8380051901131058
0.15,0.0,0.9653033260562268,0.9648537837975207,0.9999993963166288,0.9999996910884011,0.9236304980531376,0.8499252441735411,0.8572615592387431
0.175,0.0,0.9653144006076159,0.9648493765602114,0.9999998827531942,0.9999993089282438,0.8788249698139489,0.8704231437143268,0.8380051901152148
0.2,0.0,0.9653033260561911,0.964853783797482,0.9999993963166287,0.9999996910884008,0.9236304980542931,0.8499252441749016,0.857261559237843
0.225,0.0,0.9653144006076441,0.9648493765602154,0.9999998827531937,0.9999993089282441,0.8788249698168066,0.8704231437148022,0.8380051901142419
0.25,0.0,0.9653033260562452,0.9648537837975203,0.999999396316629,0.9999996910884013,0.9236304980515491,0.8499252441719385,0.8572615592370987
0.275,0.0,0.9653144006076678,0.9648493765602234,0.9999998827531936,0.9999993089282441,0.878824969815673,0.8704231437158471,0.8380051901141734
0.3,0.0,0.9653033260562446,0.9648537837975192,0.9999993963166288,0.9999996910884006,0.9236304980521477,0.8499252441742512,0.8572615592389298
0.325,0.0,0.9653144006076554,0.9648493765602142,0.9999998827531937,0.9999993089282443,0.8788249698145755,0.8704231437157283,0.8380051901151718
0.35,0.0,0.9653033260562334,0.9648537837974813,0.999999396316629,0.9999996910884009,0.9236304980541745,0.8499252441737479,0.8572615592375313
