k1,k2,band,energy_meV
0.075,0.0,80,31.4621340984079
0.075,0.0,81,33.07111445402113
0.075,0.0,82,35.87435545360542
0.075,0.0,83,36.37915829800467
0.075,0.0,84,37.96704805146312
0.075,0.0,85,39.86435283750755
0.075,0.0,86,40.42337893230955
0.075,0.0,87,42.14378526413616
0.075,0.0,88,42.462998947278344
0.075,0.0,89,43.80790591138541
0.075,0.0,90,44.92612984629923
0.075,0.0,91,45.63564375174154
0.075,0.0,92,46.87829874989808
0.075,0.0,93,47.21328771772471
0.075,0.0,94,48.25031137929
0.075,0.0,95,49.362658047808274
0.075,0.0,96,50.36242875366709
0.075,0.0,97,51.23854681506955
0.075,0.0,98,51.51362123185632
0.075,0.0,99,52.4578138957913
0.075,0.0,100,53.34824994841657
0.075,0.0,101,53.72730960530835
0.075,0.0,102,54.490805699181706
0.075,0.0,103,56.785090839494245
0.075,0.0,104,59.086295176286214
0.075,0.0,105,61.49811712809253
0.075,0.0,106,64.21132588791545
0.075,0.0,107,65.5802439837559
0.075,0.0,108,67.1408297855458
0.075,0.0,109,69.05177832949794
0.075,0.0,110,70.91511916579303
0.075,0.0,111,72.46844106390502
0.075,0.0,112,74.59245498624138
0.075,0.0,113,76.99937234497449
0.075,0.0,114,79.53257223395298
0.075,0.0,115,82.64440945488487
0.075,0.0,116,86.08206918848691
0.075,0.0,117,90.88660092592185
0.075,0.0,118,95.85385776680569
0.1,0.0,1,-93.58041256800212
0.1,0.0,2,-86.45008130008634
0.1,0.0,3,-81.54963072272861
0.1,0.0,4,-77.40084250205265
0.1,0.0,5,-74.86534694160395
0.1,0.0,6,-72.42962049984266
0.1,0.0,7,-69.00917590150218
0.1,0.0,8,-66.43553389064593
0.1,0.0,9,-64.7959081010249
0.1,0.0,10,-62.27572680565095
0.1,0.0,11,-59.99557412240739
0.1,0.0,12,-57.95114897999076
0.1,0.0,13,-55.25764057056321
0.1,0.0,14,-54.21097903059794
0.1,0.0,15,-51.960915561547836
0.1,0.0,16,-50.31327394992627
0.1,0.0,17,-48.549076468812785
0.1,0.0,18,-47.6388091092995
0.1,0.0,19,-45.483512727961426
0.1,0.0,20,-44.43715884803771
0.1,0.0,21,-43.25497361632134
0.1,0.0,22,-41.64566086805303
0.1,0.0,23,-40.70082269752811
0.1,0.0,24,-39.92368291919834
0.1,0.0,25,-38.68458093512987
0.1,0.0,26,-37.87463477158812
0.1,0.0,27,-37.40106184085451
0.1,0.0,28,-36.64518653698343
0.1,0.0,29,-36.290968357592504
0.1,0.0,30,-35.98496657458938
0.1,0.0,31,-34.196918183927394
0.1,0.0,32,-34.0998410048216
0.1,0.0,33,-31.625427809623872
0.1,0.0,34,-30.871692824361304
0.1,0.0,35,-28.866157540191494
0.1,0.0,36,-26.233816303279013
0.1,0.0,37,-25.56183068230044
0.1,0.0,38,-21.195571381641173
0.1,0.0,39,-21.06305866312745
0.1,0.0,40,-14.967428205641824
0.1,0.0,41,-7.799797265451218
0.1,0.0,42,-7.532287636148723
0.1,0.0,43,-5.926082545629157
0.1,0.0,44,-4.694906537094653
0.1,0.0,45,-4.430079054793751
0.1,0.0,46,-3.5100726570673118
0.1,0.0,47,-2.9497890790439243
0.1,0.0,48,-2.1410794127182697
0.1,0.0,49,-1.2940494555220141
0.1,0.0,50,-0.2848006698568071
0.1,0.0,51,0.7987779680408522
0.1,0.0,52,2.0466366606482183
0.1,0.0,53,3.341766046906713
0.1,0.0,54,4.748729297896517
0.1,0.0,55,6.277791680415973
0.1,0.0,56,7.911843897893206
0.1,0.0,57,9.621744519924448
0.1,0.0,58,11.40337769683893
0.1,0.0,59,13.273705645834966
0.1,0.0,60,15.168721781250923
0.1,0.0,61,16.943576806975287
0.1,0.0,62,16.975860812728975
0.1,0.0,63,17.047321443142042
0.1,0.0,64,18.444055904389955
0.1,0.0,65,18.729179366826415
0.1,0.0,66,18.792333735288235
0.1,0.0,67,19.46473602608033
0.1,0.0,68,19.70266468422639
0.1,0.0,69,20.06065768107969
0.1,0.0,70,20.495479442674963
0.1,0.0,71,20.774913110336627
0.1,0.0,72,21.09550588682147
0.1,0.0,73,21.30621729358687
0.1,0.0,74,21.730622760033558
0.1,0.0,75,21.80430542639824
0.1,0.0,76,22.287640569779086
0.1,0.0,77,22.893232709464097
0.1,0.0,78,22.926132869839748
0.1,0.0,79,25.3317617226694
0.1,0.0,80,31.462622816943068
0.1,0.0,81,33.0716505967682
0.1,0.0,82,35.869460170389594
0.1,0.0,83,36.37874422492346
0.1,0.0,84,37.97593035826166
0.1,0.0,85,39.85332025743376
0.1,0.0,86,40.43337686472556
0.1,0.0,87,42.14095391776065
0.1,0.0,88,42.456347397264246
0.1,0.0,89,43.80135373783659
0.1,0.0,90,44.96168520118847
0.1,0.0,91,45.63108606225391
0.1,0.0,92,46.76946823356996
0.1,0.0,93,47.313285857507346
0.1,0.0,94,48.27976885388966
0.1,0.0,95,49.27914408583143
0.1,0.0,96,50.421912408534716
0.1,0.0,97,51.19477613084549
0.1,0.0,98,51.59446942652797
0.1,0.0,99,52.40438281973316
0.1,0.0,100,53.25202614985782
0.1,0.0,101,53.81493675804128
0.1,0.0,102,54.507441396252254
0.1,0.0,103,56.779749641781734
0.1,0.0,104,59.0775340811391
0.1,0.0,105,61.53768118167525
0.1,0.0,106,64.1638060715146
0.1,0.0,107,65.55541596199767
0.1,0.0,108,67.16066515156844
0.1,0.0,109,69.07496390317782
0.1,0.0,110,70.96440162027
0.1,0.0,111,72.40488914805236
0.1,0.0,112,74.62053595947135
0.1,0.0,113,76.96218352869519
0.1,0.0,114,79.55525683216692
0.1,0.0,115,82.64363341108287
0.1,0.0,116,86.08088065275737
0.1,0.0,117,90.88643135070174
0.1,0.0,118,95.85361548389876
0.125,0.0,1,-93.5791419533293
0.125,0.0,2,-86.46211163921919
0.125,0.0,3,-81.51793665786897
0.125,0.0,4,-77.43088250932732
0.125,0.0,5,-74.87479164044592
0.125,0.0,6,-72.42298833905164
0.125,0.0,7,-68.93359036217512
0.125,0.0,8,-66.53767682027177
0.125,0.0,9,-64.80839715876832
0.125,0.0,10,-62.171368529173606
0.125,0.0,11,-60.05319930741351
0.125,0.0,12,-57.95400561878978
0.125,0.0,13,-55.283167466582825
0.125,0.0,14,-54.14506279213376
0.125,0.0,15,-52.02981368616918
0.125,0.0,16,-50.26680196783013
0.125,0.0,17,-48.54925917744936
0.125,0.0,18,-47.65959108431551
0.125,0.0,19,-45.431004818417904
0.125,0.0,20,-44.48662152465636
0.125,0.0,21,-43.27417156267637
0.125,0.0,22,-41.583537559342375
0.125,0.0,23,-40.740518748949455
0.125,0.0,24,-39.94903681511255
0.125,0.0,25,-38.63925812805684
0.125,0.0,26,-37.865750734461784
0.125,0.0,27,-37.39731910090342
0.125,0.0,28,-36.68371872179421
0.125,0.0,29,-36.30556614248749
0.125,0.0,30,-35.96120949088359
0.125,0.0,31,-34.193365853443325
0.125,0.0,32,-34.108338261350994
0.125,0.0,33,-31.616329907837823
0.125,0.0,34,-30.872436385446903
0.125,0.0,35,-28.870797648730445
0.125,0.0,36,-26.233263725873343
0.125,0.0,37,-25.560642685869396
0.125,0.0,38,-21.195574800347288
0.125,0.0,39,-21.06347319209368
0.125,0.0,40,-14.96735566845598
0.125,0.0,41,-7.799716397947051
0.125,0.0,42,-7.532343988748224
0.125,0.0,43,-5.926306206343611
0.125,0.0,44,-4.690596637365616
0.125,0.0,45,-4.438319364764794
0.125,0.0,46,-3.488133534509359
0.125,0.0,47,-2.9822293117453285
0.125,0.0,48,-2.1157149018258252
0.125,0.0,49,-1.3102308379984038
0.125,0.0,50,-0.2745997110975651
0.125,0.0,51,0.7898150189378441
0.125,0.0,52,2.054439195652364
0.125,0.0,53,3.335546043538585
0.125,0.0,54,4.753007285984339
0.125,0.0,55,6.27535940977458
0.125,0.0,56,7.912864735818346
0.125,0.0,57,9.621472259292105
0.125,0.0,58,11.403401155268881
0.125,0.0,59,13.273734976567013
0.125,0.0,60,15.16869974264472
0.125,0.0,61,16.944011701678793
0.125,0.0,62,16.97714625702382
0.125,0.0,63,17.04529312963987
0.125,0.0,64,18.44714301516929
0.125,0.0,65,18.729346629578238
0.125,0.0,66,18.788316562447
0.125,0.0,67,19.461791035659033
0.125,0.0,68,19.709660119992094
0.125,0.0,69,20.061457447930195
0.125,0.0,70,20.475305972780035
0.125,0.0,71,20.81641869178894
0.125,0.0,72,21.05312302413158
0.125,0.0,73,21.323030459564393
0.125,0.0,74,21.75583872865617
0.125,0.0,75,21.778788328946636
0.125,0.0,76,22.288261774843363
0.125,0.0,77,22.895074962698466
0.125,0.0,78,22.924421063497643
0.125,0.0,79,25.331840383717932
0.125,0.0,80,31.462134098408242
0.125,0.0,81,33.07111445402194
0.125,0.0,82,35.87435545360567
0.125,0.0,83,36.3791582980051
0.125,0.0,84,37.96704805146291
0.125,0.0,85,39.86435283750761
0.125,0.0,86,40.42337893230928
0.125,0.0,87,42.14378526413611
0.125,0.0,88,42.46299894727833
0.125,0.0,89,43.80790591138492
0.125,0.0,90,44.92612984629968
0.125,0.0,91,45.63564375174136
0.125,0.0,92,46.87829874989833
0.125,0.0,93,47.21328771772486
0.125,0.0,94,48.25031137928922
0.125,0.0,95,49.362658047807955
0.125,0.0,96,50.36242875366705
0.125,0.0,97,51.23854681506883
0.125,0.0,98,51.51362123185586
0.125,0.0,99,52.457813895792015
0.125,0.0,100,53.348249948416566
0.125,0.0,101,53.72730960530738
0.125,0.0,102,54.49080569918156
0.125,0.0,103,56.785090839494366
0.125,0.0,104,59.086295176286505
0.125,0.0,105,61.498117128092346
0.125,0.0,106,64.2113258879166
0.125,0.0,107,65.58024398375593
0.125,0.0,108,67.1408297855463
0.125,0.0,109,69.05177832949849
0.125,0.0,110,70.91511916579324
0.125,0.0,111,72.4684410639058
0.125,0.0,112,74.5924549862416
0.125,0.0,113,76.99937234497402
0.125,0.0,114,79.53257223395296
0.125,0.0,115,82.64440945488488
0.125,0.0,116,86.0820691884866
0.125,0.0,117,90.88660092592139
0.125,0.0,118,95.85385776680563
0.15,0.0,1,-93.58041256800135
0.15,0.0,2,-86.45008130008623
0.15,0.0,3,-81.549630722729
0.15,0.0,4,-77.4008425020522
0.15,0.0,5,-74.86534694160372
0.15,0.0,6,-72.42962049984271
0.15,0.0,7,-69.00917590150186
0.15,0.0,8,-66.43553389064576
0.15,0.0,9,-64.79590810102519
0.15,0.0,10,-62.27572680565103
0.15,0.0,11,-59.99557412240736
0.15,0.0,12,-57.95114897999099
0.15,0.0,13,-55.25764057056344
0.15,0.0,14,-54.210979030598196
0.15,0.0,15,-51.96091556154809
0.15,0.0,16,-50.31327394992633
0.15,0.0,17,-48.549076468813155
0.15,0.0,18,-47.63880910930001
0.15,0.0,19,-45.483512727961624
0.15,0.0,20,-44.4371588480378
0.15,0.0,21,-43.254973616321365
0.15,0.0,22,-41.6456608680526
0.15,0.0,23,-40.70082269752842
0.15,0.0,24,-39.92368291919868
0.15,0.0,25,-38.68458093512953
0.15,0.0,26,-37.87463477158795
0.15,0.0,27,-37.40106184085539
0.15,0.0,28,-36.6451865369834
0.15,0.0,29,-36.29096835759245
0.15,0.0,30,-35.984966574589436
0.15,0.0,31,-34.19691818392771
0.15,0.0,32,-34.099841004820895
0.15,0.0,33,-31.625427809623716
0.15,0.0,34,-30.871692824361205
0.15,0.0,35,-28.866157540190827
0.15,0.0,36,-26.233816303278772
0.15,0.0,37,-25.56183068230027
0.15,0.0,38,-21.195571381641045
0.15,0.0,39,-21.063058663127308
0.15,0.0,40,-14.967428205642122
0.15,0.0,41,-7.799797265451076
0.15,0.0,42,-7.532287636148794
0.15,0.0,43,-5.9260825456292565
0.15,0.0,44,-4.694906537094724
0.15,0.0,45,-4.430079054793751
0.15,0.0,46,-3.5100726570672975
0.15,0.0,47,-2.9497890790439243
