k1,k2,berry_curvature,ideal_g_xx,ideal_g_yy,ideal_g_xy,residual_g_xx,residual_g_yy,residual_g_xy,residual_trace,intrinsic_g_xx,intrinsic_g_yy,intrinsic_g_xy,intrinsic_trace,trace_excess
0.0,0.0,50753.47595954986,25376.73797977493,25376.73797977493,0.0,0.6740953193402637,1.201171290060808,0.8365344196093907,1.8752666094010717,25377.41207509427,25377.93915106499,0.8365344196093907,50755.35122615926,1.8752666094010717
0.025,0.0,50790.89891298988,25395.44945649494,25395.44945649494,0.0,0.13092217923404942,0.8639503608457835,-0.10505822556749561,0.9948725400798328,25395.58037867417,25396.313406855785,-0.10505822556749561,50791.89378552996,0.9948725400798328
0.05,0.0,50753.47595955209,25376.737979776044,25376.737979776044,0.0,0.6740953190923203,1.2011712898541889,0.836534419358878,1.875266608946509,25377.412075095137,25377.939151065897,0.836534419358878,50755.35122616104,1.875266608946509
0.075,0.0,50790.8989129971,25395.44945649855,25395.44945649855,0.0,0.13092217923404942,0.8639503616722611,-0.1050582252811953,0.9948725409063106,25395.580378677783,25396.313406860223,-0.1050582252811953,50791.893785538006,0.9948725409063106
0.1,0.0,50753.475959554344,25376.737979777172,25376.737979777172,0.0,0.6740953192162921,1.201171290474047,0.8365344196451784,1.875266609690339,25377.41207509639,25377.939151067647,0.8365344196451784,50755.351226164035,1.875266609690339
0.125,0.0,50790.89891297977,25395.449456489885,25395.449456489885,0.0,0.13092217960596442,0.8639503619615284,-0.10505822478016975,0.9948725415674928,25395.580378669492,25396.313406851845,-0.10505822478016975,50791.89378552134,0.9948725415674928
0.15,0.0,50753.475959551986,25376.737979775993,25376.737979775993,0.0,0.6740953193402637,1.201171289771541,0.8365344194304531,1.8752666091118046,25377.412075095333,25377.939151065766,0.8365344194304531,50755.351226161096,1.8752666091118046
0.175,0.0,50790.89891298298,25395.44945649149,25395.44945649149,0.0,0.13092217873816273,0.8639503620441763,-0.10505822567485824,0.994872540782339,25395.580378670227,25396.313406853533,-0.10505822567485824,50791.89378552376,0.994872540782339
0.2,0.0,50753.47595957075,25376.737979785376,25376.737979785376,0.0,0.6740953194642354,1.2011712905980187,0.836534419824116,1.8752666100622541,25377.41207510484,25377.939151075974,0.836534419824116,50755.351226180814,1.8752666100622541
0.225,0.0,50790.89891297066,25395.44945648533,25395.44945648533,0.0,0.13092217917206359,0.8639503618582188,-0.10505822542434545,0.9948725410302824,25395.5803786645,25396.313406847188,-0.10505822542434545,50791.89378551169,0.9948725410302824
0.25,0.0,50753.47595956264,25376.73797978132,25376.73797978132,0.0,0.6740953190923203,1.2011712892756543,0.8365344191441527,1.8752666083679745,25377.412075100412,25377.939151070594,0.8365344191441527,50755.351226171006,1.8752666083679745
0.275,0.0,50790.898912974444,25395.449456487222,25395.449456487222,0.0,0.13092217935802108,0.8639503624160914,-0.10505822495910745,0.9948725417741124,25395.58037866658,25396.313406849637,-0.10505822495910745,50791.893785516215,0.9948725417741124
0.3,0.0,50753.47595956124,25376.73797978062,25376.73797978062,0.0,0.6740953193402637,1.2011712913005248,0.8365344200388412,1.8752666106407885,25377.41207509996,25377.93915107192,0.8365344200388412,50755.35122617188,1.8752666106407885
0.325,0.0,50790.898912992976,25395.449456496488,25395.449456496488,0.0,0.13092217923404942,0.863950361796233,-0.10505822517383268,0.9948725410302823,25395.58037867572,25396.313406858284,-0.10505822517383268,50791.893785534005,0.9948725410302823
0.35,0.0,50753.4759595546,25376.7379797773,25376.7379797773,0.0,0.6740953190923203,1.2011712902674276,0.8365344195736033,1.8752666093597479,25377.412075096392,25377.939151067567,0.8365344195736033,50755.351226163955,1.8752666093597479
0.375,0.0,50790.898912985394,25395.449456492697,25395.449456492697,0.0,0.13092217935802108,0.8639503619202046,-0.10505822495910745,0.9948725412782257,25395.580378672053,25396.313406854617,-0.10505822495910745,50791.89378552667,0.9948725412782257
0.4,0.0,50753.475959550124,25376.737979775062,25376.737979775062,0.0,0.674095319588207,1.2011712912178771,0.8365344202535664,1.8752666108060843,25377.41207509465,25377.93915106628,0.8365344202535664,50755.35122616093,1.8752666108060843
0.425,0.0,50790.898912996396,25395.449456498198,25395.449456498198,0.0,0.13092217917206359,0.8639503616102754,-0.1050582252811953,0.994872540782339,25395.58037867737,25396.31340685981,-0.1050582252811953,50791.89378553718,0.994872540782339
0.45,0.0,50753.47595954692,25376.73797977346,25376.73797977346,0.0,0.6740953198981362,1.2011712909905956,0.836534420432504,1.875266610888732,25377.412075093358,25377.939151064453,0.836534420432504,50755.351226157814,1.875266610888732
0.475,0.0,50790.89891299796,25395.44945649898,25395.44945649898,0.0,0.13092217911007775,0.863950360680488,-0.10505822567485823,0.9948725397905658,25395.58037867809,25396.31340685966,-0.10505822567485823,50791.89378553775,0.9948725397905658
0.5,0.0,50753.47595954418,25376.73797977209,25376.73797977209,0.0,0.6740953194642354,1.2011712905153709,0.8365344196809659,1.8752666099796063,25377.412075091554,25377.939151062605,0.8365344196809659,50755.35122615416,1.8752666099796063
0.525,0.0,50790.898912983015,25395.449456491508,25395.449456491508,0.0,0.13092217972993608,0.8639503617135853,-0.10505822460123208,0.9948725414435213,25395.58037867124,25396.31340685322,-0.10505822460123208,50791.89378552446,0.9948725414435213
0.55,0.0,50753.47595955162,25376.73797977581,25376.73797977581,0.0,0.6740953192782779,1.201171290412061,0.8365344197525408,1.875266609690339,25377.41207509509,25377.939151066224,0.8365344197525408,50755.351226161314,1.875266609690339
