band_241_meV,band_242_meV,band_243_meV,band_244_meV,band_245_meV,band_246_meV
-20.60582199588704,-16.336962668998517,-11.834993988023674,21.932210164482033,26.46753779998301,31.038719222030952
-20.634022600683767,-16.3586735031466,-11.80284881449385,21.904620640543516,26.48635776318975,31.06905198119071
-20.718929184457167,-16.421398507229593,-11.708674101884732,21.824279037433573,26.54375653345836,31.157007788623066
-20.86022952290008,-16.519427525491643,-11.558692075857309,21.697395955179786,26.638901367589746,31.297653529391596
-21.056523433640105,-16.64586244960985,-11.361343886982663,21.532440040072657,26.768830341040847,31.485864924336596
-21.305346469355,-16.794388612426705,-11.125484722638461,21.338594853835765,26.929705452925997,31.716606410323323
-21.603336783855546,-16.960268979478354,-10.859213431202647,21.124583300608172,27.117799667285247,31.985110002309444
-21.946518355243974,-17.140552287674996,-10.569372639261534,20.89803543620334,27.330015124942836,32.28698039297031
-22.330630725248298,-17.3337988658802,-10.261485777157963,20.665289733137442,27.56402005027818,32.618249001486824
-22.751430387767087,-17.539631121571553,-9.939899182365936,20.431444145760825,27.818172489951486,32.97539277681602
-23.204915799666082,-17.758300268204746,-9.607985980062315,20.20051377327894,28.091363365621245,33.355328722480955
-23.68746318009866,-17.990349805365987,-9.268344253586429,19.975612937379676,28.382853011159124,33.75539234631946
-24.195885360091754,-18.236387501528608,-8.922965615247556,19.759124105548235,28.69213243086436,34.173306489046034
-24.727436176049967,-18.496947188480828,-8.573370418875923,19.552841006784217,29.0188169648217,34.60714554211048
-25.279782443492927,-18.772414500937934,-8.220713407146045,19.35808489879138,29.36256970186868,35.05529871716061
-25.850960342756892,-19.062993943922713,-7.865865463316062,19.175797368434182,29.723048695446757,35.51643481289804
-26.439327169765686,-19.368700788886393,-7.509476826515848,19.006614103013288,30.099871917772695,35.98946991808959
-27.043514662801368,-19.689366939472926,-7.15202617373743,18.850923762080033,30.492594900119187,36.47353872676323
-27.662386887957396,-20.024654091914005,-6.793858974117271,18.708915345253416,30.900697231774377,36.9679696090662
-28.295003712375777,-20.374070288722983,-6.4352176769782705,18.580616685936203,31.323575176372938,37.47226323662803
-28.940589831878015,-20.73698767748097,-6.076265638813459,18.465926044838007,31.760538520780813,37.98607435484796
-29.59850881424112,-21.11266029343697,-5.717106203459736,18.364638262416374,32.2108104101617,38.50919618177698
-30.268241434216975,-21.50024125457563,-5.357797990212384,18.276466544732227,32.6735293851385,39.04154686021845
-30.949367560616558,-21.898799070615198,-4.99836718280897,18.20106067916101,33.14775316707968,39.58315737341381
-31.641550920776943,-22.307332935026693,-4.638817422218974,18.138022279259076,33.63246396939421,40.134160342294955
-32.34452616424117,-22.724786957017546,-4.279137767557469,18.086917520812452,34.12657526927962,40.69477914874125
-33.05808774994319,-23.15006333557224,-3.919309087494307,18.047287735967075,34.62894006935374,41.26531687554076
-33.78208027756016,-23.58203450012167,-3.559309168736556,18.018658166099407,35.13836071752197,41.84614462404
-34.51638996883744,-24.01955425297693,-3.199116771139015,18.000545127418278,35.653600338715506,42.43768887091076
-35.260937077305805,-24.461467952436628,-2.8387148153151665,17.99246180904516,36.17339586494311,43.04041766007234
-36.0156690649017,-24.906621775798005,-2.478092854672283,17.993922896943776,36.696472534356396,43.654825594614046
-36.78055443285868,-25.35387109970559,-2.117248956999035,18.004448195533246,37.22155957643038,44.28141778972611
-37.555577132412424,-25.802088032659917,-1.7561910991887197,18.023565400224406,37.74740662646249,44.92069315455288
-38.340731509821566,-26.250168131769268,-1.3949381613198997,18.05081215735079,38.272800245273025,45.57312756487692
-39.13601776097229,-26.697036333922693,-1.0335205918330033,18.085737532443414,38.796579790039345,46.239157638905475
-39.941437884020694,-27.141652130506834,-0.6719808037427578,18.12790299317947,39.31765182022721,46.91916590645464
-40.7569921258107,-27.583014015302965,-0.3103733519385611,18.17688299993783,39.83500225128588,47.61346814544452
-41.58267591963972,-28.020163237009108,0.051235066802983335,18.232265284092332,40.3477055947555,48.32230354282665
-42.41847731001099,-28.452186890949633,0.4127657562099076,18.293650882667468,40.85493083551743,49.04582813188597
-43.26437485493224,-28.878220388449677,0.7741282765029295,18.360653987390016,41.35594376529746,49.78411169441654
-44.12033598964146,-29.297449346695785,1.1352207898757198,18.43290165671174,41.850105875589,50.53713803575256
-44.986315828129456,-29.709110946149938,1.4959304755309768,18.510033430963098,42.33687017053789,51.30480828545651
-45.86225637139354,-30.112494806123905,1.8561339978437144,18.59170088344128,42.815774456541675,52.08694668191542
-46.7480860849593,-30.506943431656463,2.2156980139233684,18.677567133917204,43.286432780729754,52.883308184244484
-47.64371980288717,-30.891852286032467,2.574479709366075,18.76730634547867,43.74852572240598,53.69358722348395
-48.54905891217401,-31.266669542898985,2.932327352872463,18.86060322113131,44.20179020104225,54.517426945395
-49.46399176961065,-31.630895570158888,3.2890808621153402,18.957152512594632,44.64600937200276,55.354428389273764
-50.38839430333073,-31.984082194610217,3.6445723745111023,19.056658550552303,45.081003059924555,56.20415916791039
-51.32213075275072,-32.32583179192718,3.9986268178093884,19.15883480295906,45.50661905067977,57.066161342093025
-52.26505450355657,-32.65579624152061,4.351062476169636,19.263403465809073,45.9227254420995,57.93995830287459
-53.21700897812684,-32.97367577990971,4.701691548347198,19.370095088995395,46.32920415117524,58.825060576255964
-54.17782854625532,-33.27921778062509,5.050320695176613,19.478648238583304,46.72594559546602,59.72097054362264
-55.14733942573441,-33.57221548263019,5.396751574105484,19.588809195492548,47.112844509504896,60.62718612667658
-56.12536054712923,-33.852506684043405,5.740781359095026,19.700331689946943,47.48979682009239,61.54320352087692
-57.111704361652905,-34.11997241290787,6.0822032445054885,19.812976670114196,47.85669748401729,62.468519079491486
-58.10617757515082,-34.37453558261357,6.4208069321306445,19.926512102952533,48.21343918357859,63.40263045626242
-59.10858179500425,-34.61615963616849,6.756379100782486,20.04071280485525,48.559911775486775,64.3450371116048
-60.11871407979995,-34.8448471807489,7.088703858221677,20.155360299242464,48.89600239397143,65.29524027869621
-61.13636738400348,-35.06063861207589,7.417563175598509,20.270242698176208,49.22159611691526,66.25274247430964
-62.16133089195115,-35.263610726937124,7.7427373048003325,20.38515460468861,49.53657711236876,67.21704662636807
-63.19339023641218,-35.453875321456074,8.064005179500434,20.49989703261895,49.84083019125456,68.18765487736331
-64.23232759787035,-35.631577772727944,8.38114480103709,20.6142773403328,50.134242699158314,69.16406711054395
-65.27792168040439,-35.79689560163708,8.69393361041856,20.728109174960625,50.41670668584512,70.14577923502003
-66.32994755972311,-35.95003701527474,9.002148848276484,20.841212423511625,50.68812129535331,71.13228125609571
-67.38817639758935,-36.091239428305116,9.305567904711523,20.953413167349538,50.94839532225972,72.12305514898684
-68.45237501520984,-36.22076796344078,9.603968661296086,21.064543636455205,51.19744988118685,73.11757254745562
