local_band,global_band,weight,fraction_within_retained_zero_field_bands
1.0,241.0,0.020976558141838148,0.028512253416687006
2.0,242.0,0.050914090421454075,0.06920465401238636
3.0,243.0,0.029584152038072558,0.04021207074696032
4.0,244.0,0.33725998520891054,0.4584184927080667
5.0,245.0,0.11365223631492627,0.15448108032180805
6.0,246.0,0.1833162502636957,0.2491714487940915
