k1_wang,k2_wang,kx,ky,zero_field_energy_meV,target_weight_raw,target_weight,target_probability,target_relative,active_weight,common_weight
0.0,0.0,0.0,0.0,24.999999999999968,0.0001125174095300456,0.00011251740953004561,0.00033362217418217687,0.4199661987063646,0.00028170835426723483,0.0006314759883246224
0.025,0.0,0.0013383166562134473,0.0,24.89519931450672,0.00012106910920561,0.0001132281112302691,0.0003357294556012378,0.4226188610161675,0.0002928556692003336,0.000630498166385677
0.05,0.0,0.0026766333124268946,0.0,24.58851814865079,0.0001313431178327354,0.00011512040799341093,0.0003413402509701864,0.42968177405122826,0.00032091018332880736,0.0006294676355245242
0.075,0.0,0.004014949968640341,0.0,24.105700840562562,0.00014287553158016461,0.00011883571670902215,0.0003523564072844608,0.44354899766429257,0.00034191098547500006,0.0006287165108411384
0.1,0.0,0.005353266624853789,0.0,23.489337267492196,0.00015489328859995356,0.00012602728727021718,0.00037367992883042867,0.4703912131394647,0.00035285543730805463,0.0006283124074805092
0.125,0.0,0.0066915832810672355,0.0,22.793275544412943,0.0001666696057645383,0.00013766138200883922,0.00040817585259504447,0.5138149514140659,0.00036298266703572676,0.0006281437222882209
0.15,0.0,0.008029899937280682,0.0,22.075066080227458,0.00017776144265757753,0.0001526879244390218,0.00045273062662456537,0.5699008489694884,0.0003752439898006547,0.0006280716824457067
0.175,0.0,0.00936821659349413,0.0,21.38900744959287,0.00018801846688242584,0.00016878593483174364,0.0005004623798675425,0.6299859527734616,0.0003913978406587536,0.0006280110791530447
0.2,0.0,0.010706533249707578,0.0,20.7813364981688,0.00019745554849848207,0.00018372655739986858,0.000544762395355209,0.6857511582865379,0.0004123532887719165,0.0006279393638154811
0.225,0.0,0.012044849905921024,0.0,20.287492640349054,0.00020613348266397923,0.00019649326206227932,0.0005826165886254324,0.733402312445466,0.0004367671312224625,0.0006278675562550407
0.25,0.0,0.013383166562134471,0.0,19.93047921238693,0.0002140859802563191,0.000207106940988699,0.0006140869064570754,0.7730173943393311,0.00046106024343380296,0.0006278114638914798
0.275,0.0,0.01472148321834792,0.0,19.719339347903087,0.00022128549867515818,0.0002159411194828335,0.000640280878115653,0.8059905704582186,0.00048209969299432267,0.000627775475733897
0.3,0.0,0.016059799874561364,0.0,19.647361253838636,0.0002276780669270239,0.00022333096058446694,0.0006621922860078639,0.8335728218578861,0.0004989104009629721,0.0006277499716774918
0.325,0.0,0.017398116530774815,0.0,19.690594249668738,0.0002332471726602736,0.00022956156863806007,0.0006806664849251581,0.856828287752682,0.0005119518867764736,0.0006277236799425041
0.35,0.0,0.01873643318698826,0.0,19.80826826527102,0.00023807150730994282,0.00023487803479260873,0.0006964301876699574,0.876671759894481,0.0005220390993726928,0.0006276936503334562
0.375,0.0,0.020074749843201706,0.0,19.94702375133285,0.0002423641830203849,0.00023950457538557022,0.00071014821173408,0.89394011573472,0.0005298799666947689,0.0006276576187636233
0.4,0.0,0.021413066499415156,0.0,20.049686653022725,0.000246429150142851,0.00024382088972585273,0.0007229463927504519,0.9100505659617684,0.0005359881105060937,0.0006276126813610885
0.425,0.0,0.0227513831556286,0.0,20.066913252958628,0.00025052345605887523,0.0002480594539191044,0.0007355140390148795,0.9258708172424157,0.0005407030088259211,0.0006275590772494276
0.45,0.0,0.024089699811842048,0.0,19.96801379556223,0.0002547239064737422,0.00025235151217575097,0.0007482402990068198,0.9418907327221512,0.000544231636948167,0.0006274870357612056
0.475,0.0,0.025428016468055495,0.0,19.747278331058062,0.0002588834039512456,0.0002565970206212015,0.0007608285354761439,0.9577369031135474,0.0005467046924906419,0.0006273833302322396
0.5,0.0,0.026766333124268942,0.0,19.424153480385897,0.0002626267868569009,0.0002604655361261054,0.0007722989608884786,0.9721759642154413,0.0005482065597180975,0.000627260322814399
0.525,0.0,0.02810464978048239,0.0,19.038052515854766,0.0002653872802977828,0.00026344960629933394,0.0007811469425764932,0.983313872673858,0.0005487650546117304,0.0006271532875476463
0.55,0.0,0.02944296643669584,0.0,18.63991484578941,0.00026659158051647516,0.0002649946670902185,0.0007857281584296799,0.9890807429726696,0.0005483713363903026,0.000627152200352299
0.575,0.0,0.03078128309290928,0.0,18.28272065757008,0.000265865033350678,0.0002646865071208822,0.0007848144420599618,0.9879305496696406,0.0005470123480130746,0.0006274787335893714
0.6,0.0,0.03211959974912273,0.0,18.0128482633965,0.0002631486333689302,0.0002623926278574402,0.0007780129258290306,0.9793687479130702,0.0005445563829969369,0.000628405659757713
