path_index,k1_wang,k2_wang,k_distance
0.0,0.3333333333333333,0.6666666666666666,0.0
1.0,0.33663366336633666,0.6633663366336634,0.00030601088385179796
2.0,0.3399339933993399,0.66006600660066,0.0006120217677036011
3.0,0.3432343234323432,0.6567656765676567,0.0009180326515553991
4.0,0.3465346534653465,0.6534653465346535,0.0012240435354071945
5.0,0.3498349834983498,0.65016501650165,0.0015300544192590002
6.0,0.3531353135313531,0.6468646864686468,0.0018360653031107956
7.0,0.3564356435643564,0.6435643564356435,0.0021420761869625988
8.0,0.35973597359735976,0.6402640264026402,0.0024480870708143967
9.0,0.36303630363036304,0.636963696369637,0.002754097954666192
10.0,0.36633663366336633,0.6336633663366336,0.003060108838517998
11.0,0.3696369636963696,0.6303630363036303,0.003366119722369793
12.0,0.3729372937293729,0.6270627062706271,0.0036721306062215886
13.0,0.3762376237623762,0.6237623762376237,0.003978141490073394
14.0,0.3795379537953795,0.6204620462046204,0.004284152373925192
15.0,0.3828382838283828,0.6171617161716172,0.004590163257776988
16.0,0.3861386138613861,0.6138613861386137,0.004896174141628793
17.0,0.3894389438943894,0.6105610561056105,0.005202185025480589
18.0,0.3927392739273927,0.6072607260726073,0.005508195909332387
19.0,0.39603960396039606,0.6039603960396039,0.00581420679318419
20.0,0.39933993399339934,0.6006600660066007,0.006120217677035985
21.0,0.40264026402640263,0.5973597359735973,0.006426228560887791
22.0,0.4059405940594059,0.594059405940594,0.006732239444739586
23.0,0.40924092409240925,0.5907590759075908,0.007038250328591384
24.0,0.4125412541254125,0.5874587458745874,0.0073442612124431875
25.0,0.4158415841584158,0.5841584158415841,0.0076502720962949855
26.0,0.4191419141914191,0.5808580858085809,0.007956282980146782
27.0,0.42244224422442245,0.5775577557755776,0.008262293863998585
28.0,0.42574257425742573,0.5742574257425742,0.008568304747850385
29.0,0.429042904290429,0.5709570957095709,0.008874315631702184
30.0,0.4323432343234323,0.5676567656765676,0.00918032651555398
31.0,0.4356435643564356,0.5643564356435643,0.00948633739940578
