k1,k2,magnetic_band,energy_meV
0.025,0.0,23,-40.740514364938804
0.025,0.0,24,-39.94903207726787
0.025,0.0,25,-38.63925363588481
0.025,0.0,26,-37.86574619003753
0.025,0.0,27,-37.39731753380255
0.025,0.0,28,-36.68371723341616
0.025,0.0,29,-36.30556275566789
0.025,0.0,30,-35.96120576775161
0.025,0.0,31,-34.193363114382215
0.025,0.0,32,-34.10833653947039
0.025,0.0,33,-31.616328506401928
0.025,0.0,34,-30.8724357192132
0.025,0.0,35,-28.870795786306786
0.025,0.0,36,-26.233261312804885
0.025,0.0,37,-25.560641260501427
0.025,0.0,38,-21.195575171234353
0.025,0.0,39,-21.06347160120977
0.025,0.0,40,-14.967355403073128
0.025,0.0,41,-7.799713692530474
0.025,0.0,42,-7.532341862583976
0.025,0.0,43,-5.9263006315474485
0.025,0.0,44,-4.690591097491634
0.025,0.0,45,-4.438321312035086
0.025,0.0,46,-3.488127171413552
0.025,0.0,47,-2.982231670611654
0.025,0.0,48,-2.115710524642097
0.025,0.0,49,-1.3102300210435658
0.025,0.0,50,-0.2745981419157886
0.025,0.0,51,0.7898157741588818
0.025,0.0,52,2.054439190207802
0.025,0.0,53,3.3355457982565184
0.025,0.0,54,4.753006180723361
0.025,0.0,55,6.275358331701227
0.025,0.0,56,7.912863980967117
0.025,0.0,57,9.621471851245985
0.025,0.0,58,11.403401164588203
0.025,0.0,59,13.27373469467031
0.025,0.0,60,15.1686994450139
0.025,0.0,61,16.944009404055574
0.025,0.0,62,16.977142703912435
0.025,0.0,63,17.045288846390097
0.025,0.0,64,18.44714209104562
0.025,0.0,65,18.729346709239763
0.025,0.0,66,18.788314264779444
0.025,0.0,67,19.46178874705393
0.025,0.0,68,19.70965708359155
0.025,0.0,69,20.061453988017064
0.025,0.0,70,20.475301367136737
0.025,0.0,71,20.816415855206003
0.025,0.0,72,21.053118852547527
0.025,0.0,73,21.323027983648856
0.025,0.0,74,21.75583783867835
0.025,0.0,75,21.778781800046115
0.025,0.0,76,22.288261176859365
0.025,0.0,77,22.89507643059993
0.025,0.0,78,22.924420865122045
0.025,0.0,79,25.331835851545137
0.025,0.0,80,31.462131598995825
0.025,0.0,81,33.07111087099416
0.025,0.0,82,35.87435339280455
0.025,0.0,83,36.3791529856864
0.025,0.0,84,37.96704491682809
0.025,0.0,85,39.86435081082917
0.025,0.0,86,40.42337861010516
0.025,0.0,87,42.14378981220671
0.025,0.0,88,42.4629953937006
0.025,0.0,89,43.80789850994741
0.025,0.0,90,44.926125261710084
0.025,0.0,91,45.635633906418064
0.025,0.0,92,46.87826806642618
0.025,0.0,93,47.21327466501428
0.025,0.0,94,48.250295562238016
0.025,0.0,95,49.362634971351845
0.025,0.0,96,50.36241045606254
0.025,0.0,97,51.23851615444401
