k1,k2,raw_link1_abs,raw_link2_abs,covariant_link1_abs,covariant_link2_abs,frame_singular1,frame_singular2,frame_singular_difference
0.0,0.0,0.9653034243637979,0.9648538198354929,0.9999993963428606,0.9999996909583624,0.9236242876016686,0.8499092486415181,0.8572543238351287
0.025,0.0,0.9653145064567128,0.964849410445381,0.9999998827933926,0.9999993089560896,0.8788153247414275,0.8704083497635275,0.8379962538115799
0.05,0.0,0.9653034243637837,0.9648538198354921,0.9999993963428607,0.9999996909583623,0.9236242876009617,0.8499092486422907,0.8572543238362603
0.075,0.0,0.965314506456658,0.9648494104453328,0.9999998827933929,0.9999993089560893,0.878815324744094,0.8704083497635718,0.8379962538104451
0.1,0.0,0.9653034243637553,0.9648538198354542,0.9999993963428608,0.9999996909583618,0.9236242875981399,0.849909248640546,0.85725432383498
0.125,0.0,0.9653145064567041,0.964849410445382,0.9999998827933927,0.9999993089560895,0.878815324742512,0.8704083497647076,0.8379962538109932
0.15,0.0,0.9653034243637614,0.9648538198355173,0.9999993963428604,0.9999996909583622,0.9236242876000532,0.849909248640664,0.857254323834802
0.175,0.0,0.9653145064566612,0.9648494104453447,0.9999998827933927,0.9999993089560896,0.8788153247452325,0.870408349762442,0.8379962538101731
0.2,0.0,0.9653034243637246,0.9648538198354741,0.9999993963428606,0.999999690958362,0.9236242875997113,0.8499092486397906,0.857254323834173
0.225,0.0,0.965314506456669,0.9648494104453283,0.9999998827933931,0.9999993089560891,0.8788153247384566,0.8704083497624949,0.8379962538105328
0.25,0.0,0.9653034243637888,0.9648538198354926,0.9999993963428605,0.9999996909583623,0.9236242876030086,0.8499092486421025,0.8572543238338385
0.275,0.0,0.9653145064567186,0.9648494104453796,0.9999998827933926,0.9999993089560896,0.8788153247402214,0.8704083497609357,0.8379962538103218
0.3,0.0,0.9653034243637774,0.9648538198354936,0.9999993963428605,0.9999996909583623,0.9236242876011547,0.8499092486387869,0.8572543238351016
0.325,0.0,0.9653145064566576,0.9648494104453357,0.9999998827933927,0.9999993089560897,0.8788153247448661,0.8704083497652657,0.8379962538093386
0.35,0.0,0.9653034243637534,0.9648538198354513,0.9999993963428608,0.9999996909583622,0.9236242875996402,0.8499092486405471,0.85725432383396
0.375,0.0,0.9653145064567064,0.9648494104453837,0.9999998827933928,0.9999993089560893,0.8788153247368544,0.8704083497629131,0.8379962538115378
0.4,0.0,0.9653034243637629,0.9648538198355187,0.9999993963428607,0.9999996909583618,0.9236242876026851,0.8499092486416707,0.8572543238344867
0.425,0.0,0.9653145064566668,0.964849410445354,0.9999998827933928,0.999999308956089,0.8788153247400744,0.8704083497634013,0.8379962538106706
0.45,0.0,0.9653034243637361,0.9648538198354831,0.9999993963428604,0.9999996909583623,0.9236242876016939,0.8499092486431066,0.8572543238358052
0.475,0.0,0.9653145064566735,0.9648494104453352,0.9999998827933927,0.9999993089560897,0.8788153247460235,0.8704083497642313,0.8379962538110541
0.5,0.0,0.9653034243638038,0.9648538198355019,0.9999993963428605,0.9999996909583617,0.9236242875983295,0.8499092486407884,0.8572543238347585
0.525,0.0,0.9653145064567169,0.9648494104453823,0.9999998827933928,0.9999993089560892,0.8788153247428139,0.8704083497623659,0.8379962538101681
0.55,0.0,0.9653034243637889,0.9648538198354852,0.9999993963428604,0.9999996909583623,0.9236242876005579,0.8499092486421813,0.8572543238350548
0.575,0.0,0.9653145064566577,0.9648494104453373,0.9999998827933928,0.9999993089560895,0.8788153247438512,0.870408349762516,0.8379962538093598
0.6,0.0,0.9653034243637545,0.9648538198354625,0.9999993963428607,0.9999996909583624,0.9236242875984338,0.8499092486413203,0.8572543238354593
0.625,0.0,0.9653145064567039,0.9648494104453801,0.9999998827933928,0.9999993089560891,0.8788153247426008,0.8704083497626989,0.8379962538111758
0.65,0.0,0.9653034243637675,0.9648538198355162,0.9999993963428605,0.9999996909583618,0.9236242875989975,0.8499092486410103,0.8572543238355601
0.675,0.0,0.9653145064566668,0.964849410445359,0.999999882793393,0.9999993089560895,0.8788153247438079,0.8704083497620795,0.8379962538105286
0.7,0.0,0.9653034243637225,0.9648538198354795,0.9999993963428606,0.9999996909583622,0.923624287602212,0.8499092486431027,0.8572543238366072
0.725,0.0,0.9653145064566622,0.9648494104453351,0.9999998827933927,0.9999993089560897,0.8788153247396542,0.8704083497629009,0.8379962538118675
0.75,0.0,0.9653034243637957,0.9648538198354878,0.9999993963428605,0.9999996909583623,0.9236242876028361,0.8499092486443278,0.857254323835437
0.775,0.0,0.9653145064567167,0.9648494104453851,0.9999998827933926,0.9999993089560892,0.8788153247409496,0.8704083497636482,0.8379962538104967
0.8,0.0,0.9653034243637787,0.9648538198354928,0.9999993963428601,0.9999996909583623,0.9236242876020466,0.8499092486404918,0.8572543238342789
0.825,0.0,0.9653145064566584,0.9648494104453306,0.9999998827933926,0.9999993089560892,0.8788153247410379,0.8704083497636218,0.8379962538108731
