k1,k2,berry_curvature,ideal_g_xx,ideal_g_yy,ideal_g_xy,residual_g_xx,residual_g_yy,residual_g_xy,residual_trace,intrinsic_g_xx,intrinsic_g_yy,intrinsic_g_xy,intrinsic_trace,trace_excess
0.0,0.0,50753.478006459314,25376.739003229657,25376.739003229657,0.0,0.6740660278714234,1.2014804393975613,0.8366260255817793,1.8755464672689848,25377.413069257527,25377.940483669056,0.8366260255817793,50755.35355292659,1.8755464672689848
0.025,0.0,50790.89692417413,25395.448462087064,25395.448462087064,0.0,0.1308772916949426,0.8637749522936579,-0.10518718904260468,0.9946522439886005,25395.57933937876,25396.312237039358,-0.10518718904260468,50791.891576418115,0.9946522439886005
0.05,0.0,50753.47800646571,25376.739003232855,25376.739003232855,0.0,0.6740660278094376,1.20148043991411,0.8366260257965046,1.8755464677235474,25377.413069260663,25377.94048367277,0.8366260257965046,50755.35355293343,1.8755464677235474
0.075,0.0,50790.89692418821,25395.448462094104,25395.448462094104,0.0,0.13087729144699928,0.8637749525002775,-0.10518718922154241,0.9946522439472767,25395.57933938555,25396.312237046604,-0.10518718922154241,50791.89157643216,0.9946522439472767
0.1,0.0,50753.47800646237,25376.739003231185,25376.739003231185,0.0,0.6740660276234801,1.2014804408438975,0.8366260260470173,1.8755464684673777,25377.413069258808,25377.940483672028,0.8366260260470173,50755.353552930836,1.8755464684673777
0.125,0.0,50790.89692417621,25395.448462088105,25395.448462088105,0.0,0.1308772916949426,0.8637749524589534,-0.10518718904260468,0.9946522441538961,25395.5793393798,25396.312237040565,-0.10518718904260468,50791.89157642036,0.9946522441538961
0.15,0.0,50753.478006465375,25376.739003232688,25376.739003232688,0.0,0.6740660281193668,1.2014804403893347,0.836626026225955,1.8755464685087015,25377.41306926081,25377.940483673076,0.836626026225955,50755.353552933884,1.8755464685087015
0.175,0.0,50790.89692417843,25395.448462089214,25395.448462089214,0.0,0.13087729157097094,0.8637749517564475,-0.10518718947205516,0.9946522433274184,25395.579339380787,25396.31223704097,-0.10518718947205516,50791.89157642175,0.9946522433274184
0.2,0.0,50753.478006457604,25376.739003228802,25376.739003228802,0.0,0.6740660279334092,1.2014804406992639,0.8366260262975301,1.875546468632673,25377.413069256734,25377.940483669503,0.8366260262975301,50755.35355292624,1.875546468632673
0.225,0.0,50790.89692419409,25395.448462097043,25395.448462097043,0.0,0.13087729113707008,0.8637749525622631,-0.10518718961520532,0.9946522436993332,25395.57933938818,25396.312237049606,-0.10518718961520532,50791.89157643779,0.9946522436993332
0.25,0.0,50753.478006447935,25376.739003223967,25376.739003223967,0.0,0.6740660280573809,1.2014804398314622,0.8366260258680797,1.8755464678888432,25377.413069252023,25377.9404836638,0.8366260258680797,50755.353552915825,1.8755464678888432
0.275,0.0,50790.896924162524,25395.448462081262,25395.448462081262,0.0,0.13087729163295678,0.8637749522316721,-0.10518718904260468,0.9946522438646289,25395.579339372896,25396.312237033493,-0.10518718904260468,50791.891576406386,0.9946522438646289
0.3,0.0,50753.47800644198,25376.73900322099,25376.73900322099,0.0,0.6740660279953951,1.2014804401827153,0.836626026225955,1.8755464681781104,25377.413069248985,25377.940483661176,0.836626026225955,50755.353552910165,1.8755464681781104
